st_co,CRCT_ST_CO,GEOID,DRY1997NUM,DRY1997CAL,HOG1997NUM,HOG1997CAL,BRL1997NUM,BRL1997CAL,LAY1997NUM,LAY1997CAL,ALL1997AU,COW2002NUM,COW2002CAL,DRY2002NUM,DRY2002CAL,HOG2002NUM,HOG2002CAL,BRL2002NUM,BRL2002CAL,LAY2002NUM,LAY2002CAL,ALL2002AU,COW2007NUM,COW2007CAL,DRY2007NUM,DRY2007CAL,HOG2007NUM,HOG2007CAL,BRL2007NUM,BRL2007CAL,LAY2007NUM,LAY2007CAL,ALL2007AU,COW2012NUM,COW2012CAL,DRY2012NUM,DRY2012CAL,HOG2012NUM,HOG2012CAL,BRL2012NUM,BRL2012CAL,LAY2012NUM,LAY2012CAL,ALL2012AU,COW2017FAC,COW2017NUM,COW2017CALC,DRY2017FAC,DRY2017NUM,DRY2017CAL,HOG2017FAC,HOG2017NUM,HOG2017CAL,BRL2017FAC,BRL2017NUM ,BRL2017CAL,LAY2017FAC,LAY2017NUM,LAY2017CAL,ALL2017AU
Indiana_Posey,Indiana_Posey,18129, ,N,8875,N, ,N, ,N,976.25, ,N, ,N,18447,N, ,N, ,N,2029, ,N, ,N,12327,Y, ,N, ,N,1356,,N,,N,37875,N,,N,,N,4167,,,,,,,2,14376.7027,y,,,,,,,1581.437297
Indiana_Pulaski,Indiana_Pulaski,18131,644,Y,39492,N, ,N,453825,Y,6246.36, ,N,2607,Y,25970,N, ,N,637601,Y,8930, ,N,3999,Y,39300,N, ,N,626128,Y,12232,,N,4567,Y,26545,N,,N,819561,Y,12370,,,,1,1887.909091,y,6,32600,n,,,,1,1082384.909,y,10398.14009
Indiana_Putnam,Indiana_Putnam,18133, ,N,23414,N, ,N, ,N,2575.54, ,N, ,N,36497,N, ,N, ,N,4015, ,N, ,N,24540,N, ,N, ,N,2700,,N,,N,25136,N,,N,,N,2765,,,,,,,4,20881,n,,,,,,,2296.91
Indiana_Randolph,Indiana_Randolph,18135, ,N,31713,N, ,N, ,N,3488.43, ,N, ,N,55717,N, ,N, ,N,6129, ,N,1999,Y,50240,N, ,N, ,N,8228,,N,2284,Y,173000,N,,N,,N,22118,,,,1,1887.909091,y,19,207572,n,,,,,,,25315.52045
Indiana_Ripley,Indiana_Ripley,18137, ,N,15480,N, ,N, ,N,1702.8, ,N, ,N,25125,N, ,N, ,N,2764, ,N, ,N,25586,N, ,N, ,N,2815,,N,,N,27135,N,,N,,N,2985,,,,,,,17,34031,n,,,,,,,3743.41
Indiana_Rush,Indiana_Rush,18139, ,N,70899,N, ,N, ,N,7798.89, ,N,1304,Y,60017,N, ,N, ,N,8365, ,N, ,N,125051,N, ,N, ,N,13757,2287,Y,,N,124679,N,,N,,N,15722,,,,,,,21,114335,n,,,,,,,12576.85
Indiana_Scott,Indiana_Scott,18143, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,2,14376.7027,y,,,,,,,1581.437297
Indiana_Shelby,Indiana_Shelby,18145, ,N,53509,N, ,N, ,N,5885.99, ,N, ,N,21795,N, ,N, ,N,2398, ,N, ,N,31216,N, ,N, ,N,3434,,N,,N,30574,N,,N,,N,3363,,,,1,1887.909091,y,3,11150,n,,,,,,,3709.100455
Indiana_Spencer,Indiana_Spencer,18147, ,N,33854,N, ,N, ,N,3723.94,704,Y, ,N,19425,N, ,N, ,N,2755, ,N, ,N,32628,N, ,N, ,N,3589,,N,,N,27441,N,,N,,N,3019,,,,,,,4,24052,n,,,,,,,2645.72
Indiana_St. Joseph,Indiana_StJoseph,18141, ,N,19237,N, ,N,453825,Y,3931.37, ,N, ,N,22136,N, ,N,637601,Y,4985, ,N, ,N,23504,N, ,N,626128,Y,5091,,N,,N,22800,N,,N,,N,2508,,,,,,,3,27300,n,,,,,,,3003
Indiana_Starke,Indiana_Starke,18149, ,N,5844,Y, ,N, ,N,642.84, ,N, ,N,6345,Y, ,N, ,N,698, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,2,14376.7027,y,,,,,,,1581.437297
Indiana_Steuben,Indiana_Steuben,18151, ,N,5844,Y, ,N, ,N,642.84,704,Y,1304,Y, ,N, ,N, ,N,2380,988,Y,1999,Y,6164,Y, ,N, ,N,4246,1144,Y,2284,Y,7796,Y,,N,,N,4947,1,1195.642857,y,2,3775.818182,y,1,7188.351351,y,,,,,,,6804.498343
Indiana_Sullivan,Indiana_Sullivan,18153, ,N,7380,N, ,N, ,N,811.8, ,N, ,N,12690,Y, ,N, ,N,1396, ,N, ,N,12327,Y, ,N, ,N,1356,,N,,N,40308,N,,N,,N,4434,,,,,,,,,,,,,,,,0
Indiana_Switzerland,Indiana_Switzerland,18155, ,N,5844,Y, ,N, ,N,642.84, ,N, ,N, ,N, ,N, ,N,, ,N, ,N,6164,Y, ,N, ,N,678,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Indiana_Tippecanoe,Indiana_Tippecanoe,18157, ,N,81434,N, ,N, ,N,8957.74, ,N, ,N,72621,N, ,N, ,N,7989, ,N, ,N,53538,N, ,N, ,N,5890,,N,,N,31760,N,,N,,N,3494,,,,,,,10,45623,n,,,,,,,5018.53
Indiana_Tipton,Indiana_Tipton,18159, ,N,46003,N, ,N,453825,Y,6875.63, ,N, ,N,36278,N, ,N,637601,Y,6541, ,N, ,N,47253,N, ,N,626128,Y,7703,,N,,N,64814,N,,N,819561,Y,10408,,,,,,,9,45290,n,,,,1,1082384.909,y,9311.439636
Indiana_Union,Indiana_Union,18161, ,N,13146,N, ,N, ,N,1446.06, ,N, ,N,15488,N, ,N, ,N,1704, ,N, ,N,12892,N, ,N, ,N,1418,,N,,N,15591,Y,,N,,N,1715,,,,,,,1,7188.351351,y,,,,,,,790.7186486
Indiana_Vanderburgh,Indiana_Vanderburgh,18163, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,819561,Y,3278,,,,,,,,,,,,,,,,0
Indiana_Vermillion,Indiana_Vermillion,18165, ,N,11688,Y, ,N, ,N,1285.68, ,N, ,N,12690,Y, ,N, ,N,1396, ,N, ,N,12327,Y, ,N, ,N,1356,,N,,N,40736,N,,N,,N,4481,,,,,,,1,7188.351351,y,,,,,,,790.7186486
Indiana_Vigo,Indiana_Vigo,18167, ,N,13144,N, ,N, ,N,1445.84, ,N, ,N,10650,N, ,N, ,N,1172, ,N, ,N,6164,Y, ,N, ,N,678,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Indiana_Wabash,Indiana_Wabash,18169, ,N,100587,N, ,N,453825,Y,12879.87, ,N, ,N,91247,N, ,N,637601,Y,12588, ,N,1999,Y,128208,N, ,N, ,N,16805,,N,2284,Y,136653,N,,N,819561,Y,21397,,,,1,1887.909091,y,23,137404,n,,,,,,,17597.04045
Indiana_Warren,Indiana_Warren,18171, ,N,17532,Y, ,N, ,N,1928.52, ,N, ,N,12690,Y, ,N, ,N,1396, ,N, ,N,18491,Y, ,N, ,N,2034,,N,,N,7796,Y,,N,,N,858,,,,1,1887.909091,y,1,7188.351351,y,,,,,,,3273.319103
Indiana_Warrick,Indiana_Warrick,18173, ,N,5844,Y, ,N, ,N,642.84, ,N, ,N,12690,Y, ,N, ,N,1396, ,N, ,N,12327,Y, ,N, ,N,1356,,N,,N,7796,Y,,N,,N,858,,,,,,,3,8250,n,,,,,,,907.5
Indiana_Washington,Indiana_Washington,18175, ,N,7820,N,324848,Y, ,N,1574.8656, ,N, ,N,12690,Y,1762410,Y, ,N,5269, ,N, ,N,12327,Y,2066993,Y, ,N,5899,,N,,N,9903,N,2707939,Y,,N,7041,,,,,,,3,16850,n,18,3356212.121,y,,,,9237.166667
Indiana_Wayne,Indiana_Wayne,18177, ,N,20808,N, ,N, ,N,2288.88,704,Y, ,N,16344,N, ,N, ,N,2416, ,N, ,N,19420,N, ,N, ,N,2136,,N,,N,13815,N,,N,,N,1520,,,,,,,3,22264,n,,,,,,,2449.04
Indiana_Wells,Indiana_Wells,18179, ,N,48915,N, ,N, ,N,5380.65, ,N,2607,Y,17560,N, ,N,637601,Y,8005, ,N,1999,Y,38274,N, ,N,2504510,Y,16930,,N,4567,Y,101283,N,,N,1639122,Y,23870,,,,1,1887.909091,y,29,178563,n,,,,2,2164769.818,y,30783.60973
Indiana_White,Indiana_White,18181, ,N,93081,N, ,N,453825,Y,12054.21, ,N, ,N,109107,N, ,N,637601,Y,14553,988,Y, ,N,178920,N, ,N,626128,Y,23055,1144,Y,,N,197135,N,,N,819561,Y,25968,1,1195.642857,y,,,,27,229378,n,,,,1,1082384.909,y,30609.69842
Indiana_Whitley,Indiana_Whitley,18183, ,N,45239,N, ,N, ,N,4976.29,704,Y, ,N,24724,N, ,N, ,N,3338,1975,Y, ,N,35535,N, ,N, ,N,5641,,N,,N,40080,N,,N,,N,4409,1,1195.642857,y,,,,17,91407,n,,,,,,,11103.34879
Iowa_Adair,Iowa_Adair,19001, ,N,10257,N, ,N,466856,Y,2995.694,2108,N, ,N,16070,N, ,N,808031,Y,6849,4162,N, ,N,12340,N, ,N,1279344,Y,10126,3230,Y,,N,34450,N,,N,1266349,Y,11688,9,6268,n,,,,7,51952,n,,,,1,1866227.345,y,18676.66538
Iowa_Adams,Iowa_Adams,19003, ,N,44876,N, ,N, ,N,4936.36,3950,N, ,N,26603,Y, ,N, ,N,6392,5300,N, ,N,50717,N, ,N, ,N,10228,1615,Y,,N,65456,Y,,N,,N,8617,2,3265.16129,y,,,,11,53974.17949,y,,,,,,,8800.706195
Iowa_Allamakee,Iowa_Allamakee,19005,651,Y,38234,N, ,N, ,N,4293.625, ,N,2376,Y,70303,N, ,N, ,N,10945,1238,Y,2150,N,82792,N, ,N, ,N,13099,6343,N,4000,N,100215,N,,N,,N,21994,3,1875,n,4,3865,n,16,72770,n,,,,,,,14731.55
Iowa_Appanoose,Iowa_Appanoose,19007, ,N, ,N, ,N, ,N,0, ,N, ,N, ,N, ,N, ,N,,1238,Y, ,N, ,N, ,N, ,N,1086,3230,Y,,N,,N,,N,,N,2833,2,3265.16129,y,,,,,,,,,,,,,2863.546452
Iowa_Audubon,Iowa_Audubon,19009, ,N,133085,N, ,N, ,N,14639.35,6592,N, ,N,173095,N, ,N, ,N,24824,17960,N, ,N,270120,N, ,N, ,N,45470,11271,N,,N,292123,N,,N,,N,42024,10,10800,n,,,,35,264294,n,,,,,,,38543.94
Iowa_Benton,Iowa_Benton,19011, ,N,39745,N, ,N,466856,Y,6239.374,3895,N,1188,Y,55795,N, ,N,808031,Y,14392,15504,N,1504,Y,67281,N, ,N,1279344,Y,28151,3230,Y,1845,Y,129644,N,,N,1266349,Y,24655,4,2873,n,1,1832.434783,y,30,250580,n,,,,,,,32493.07274
Iowa_Black Hawk,Iowa_BlackHawk,19013, ,N,115424,N, ,N, ,N,12696.64,1822,Y, ,N,132952,N, ,N, ,N,16224,1238,Y, ,N,139613,N, ,N, ,N,16445,,N,,N,230455,N,,N,,N,25353,6,4620,n,,,,62,243596,n,,,,,,,30847.3
Iowa_Boone,Iowa_Boone,19015, ,N,76648,N, ,N,466856,Y,10298.704,4689,N, ,N,47325,N, ,N,1616063,Y,15783,1718,N, ,N,56883,N, ,N,1279344,Y,12882,3230,Y,,N,134005,N,,N,,N,17575,4,3400,n,,,,20,141570,n,,,,,,,18554.5
Iowa_Bremer,Iowa_Bremer,19017, ,N,47068,N, ,N, ,N,5177.48, ,N, ,N,106990,N, ,N, ,N,11770, ,N, ,N,112225,N, ,N, ,N,12346,3230,Y,1845,Y,189395,N,,N,,N,26163,8,5522,n,1,1832.434783,y,24,139834,n,,,,,,,22634.18574
Iowa_Buchanan,Iowa_Buchanan,19019, ,N,113992,N, ,N, ,N,12539.12,1700,N, ,N,132290,N, ,N, ,N,16044,19922,N, ,N,244141,N, ,N, ,N,44333,4819,N,,N,362198,N,,N,,N,44073,4,2899,n,,,,65,358433,n,,,,,,,41970.053
Iowa_Buena Vista,Iowa_BuenaVista,19021, ,N,238155,N, ,N,466856,Y,28064.474,6157,N, ,N,276554,N, ,N,1616063,Y,42289,13390,N, ,N,429695,N, ,N,2558687,Y,69252,7502,N,,N,427272,N,,N,1266349,Y,58651,8,10858,n,,,,70,344818,n,,,,2,3732454.69,y,62382.26476
Iowa_Butler,Iowa_Butler,19023, ,N,112109,N, ,N,466856,Y,14199.414,911,Y, ,N,182255,N, ,N, ,N,20849,1238,Y, ,N,319502,N, ,N, ,N,36235,5228,N,,N,367511,N,,N,,N,45016,8,5659,n,1,1832.434783,y,38,281588,n,,,,,,,38347.27474
Iowa_Calhoun,Iowa_Calhoun,19025, ,N,130368,N, ,N, ,N,14340.48,5469,N, ,N,174474,N, ,N, ,N,23991,11602,N, ,N,290906,N, ,N, ,N,42180,3412,N,,N,349974,N,,N,,N,41494,4,6248,n,,,,43,310474,n,,,,,,,39631.636
Iowa_Carroll,Iowa_Carroll,19027, ,N,273081,N, ,N, ,N,30038.91,39360,N, ,N,479991,N, ,N, ,N,87330,73251,N, ,N,489426,N, ,N, ,N,118097,44401,N,,N,530213,N,,N,,N,97278,33,34076,n,,,,85,733229,n,,,,,,,110539.842
Iowa_Cass,Iowa_Cass,19029, ,N,29575,N, ,N,466856,Y,5120.674,10480,N,1188,Y,50398,N,118758,Y,1616063,Y,23067,10354,N,1504,Y,54669,N,113091,Y,2558687,Y,27612,17692,N,1845,Y,46680,N,145500,Y,1266349,Y,28534,5,11414,n,1,1832.434783,y,4,33826,n,,,,1,1866227.345,y,23605.49912
Iowa_Cedar,Iowa_Cedar,19031, ,N,99548,N, ,N, ,N,10950.28,911,Y, ,N,123402,N, ,N, ,N,14375,7070,N, ,N,145296,N, ,N, ,N,22186,3230,Y,,N,196288,N,,N,,N,24427,2,3265.16129,y,,,,58,358707,n,,,,,,,42321.31645
Iowa_Cerro Gordo,Iowa_CerroGordo,19033, ,N,90896,N, ,N, ,N,9998.56,1822,Y, ,N,126861,N, ,N, ,N,15554,1238,Y, ,N,122890,N, ,N, ,N,14605,1615,Y,,N,121819,N,,N,,N,14818,2,3265.16129,y,,,,14,116950,n,,,,,,,15728.04645
Iowa_Cherokee,Iowa_Cherokee,19035, ,N,155968,N, ,N, ,N,17156.48,19322,N, ,N,186346,N, ,N, ,N,37449,32742,N, ,N,217101,N, ,N, ,N,52604,16897,N,,N,265767,N,,N,,N,44059,37,28283,n,,,,68,249176,n,,,,,,,52213.551
Iowa_Chickasaw,Iowa_Chickasaw,19037,651,Y,82921,N, ,N, ,N,9209.195,5279,N,1188,Y,115410,N, ,N, ,N,18932,18569,N,1504,Y,208837,N, ,N, ,N,41295,17324,N,1845,Y,220278,N,,N,,N,41923,8,8828,n,1,1832.434783,y,27,238030,n,,,,,,,36335.10774
Iowa_Clarke,Iowa_Clarke,19039, ,N,60376,N, ,N, ,N,6641.36, ,N, ,N,17735,Y, ,N, ,N,1951,1238,Y, ,N,37161,Y, ,N, ,N,5174,1615,Y,,N,84471,N,,N,,N,10709,4,4200,n,,,,7,133612,n,,,,,,,18380.72
Iowa_Clay,Iowa_Clay,19041, ,N,68961,N, ,N, ,N,7585.71,4393,N, ,N,174854,N, ,N,808031,Y,26322,14701,N, ,N,202681,N, ,N, ,N,35193,13386,N,,N,178134,N,,N,2532698,Y,41470,8,13158,n,,,,45,228434,n,,,,,,,36667.306
Iowa_Clayton,Iowa_Clayton,19043, ,N,148819,N, ,N,466856,Y,18237.514,2871,N,1188,Y,144500,N, ,N,1616063,Y,26484,10512,N,1504,Y,160122,N, ,N,1279344,Y,33985,6500,N,3691,Y,248060,N,,N,,N,37979,12,7919,n,3,1837,n,46,276742,n,,,,,,,39802.238
Iowa_Clinton,Iowa_Clinton,19045, ,N,39429,N, ,N, ,N,4337.19,6648,N,1188,Y,37870,N, ,N, ,N,11603,10829,N,3009,Y,69774,N, ,N, ,N,21241,9276,N,3691,Y,52966,N,,N,,N,18951,23,21445,n,1,1832.434783,y,14,55000,n,,,,,,,27266.91674
Iowa_Crawford,Iowa_Crawford,19047, ,N,123006,N, ,N, ,N,13530.66,7177,N, ,N,136528,N, ,N, ,N,21316,13408,N, ,N,328516,N, ,N, ,N,47901,9499,N,,N,306533,N,,N,,N,42054,10,13192,n,,,,39,293667,n,,,,,,,43872.754
Iowa_Dallas,Iowa_Dallas,19049, ,N,38909,N, ,N,466856,Y,6147.414,3671,N, ,N,37705,N, ,N,808031,Y,10600,6325,N, ,N,56403,N, ,N,1279344,Y,16870,3230,Y,,N,52721,N,,N,1266349,Y,13698,4,8635,n,,,,19,98925,n,,,,,,,18454.645
Iowa_Davis,Iowa_Davis,19051, ,N,90354,Y, ,N, ,N,9938.94,1822,Y, ,N,36540,N, ,N, ,N,5618,1238,Y, ,N,74819,N, ,N, ,N,9317,1615,Y,,N,153859,N,,N,,N,18343,,,,,,,16,123568,n,,,,,,,13592.48
Iowa_Decatur,Iowa_Decatur,19053, ,N,30683,N, ,N, ,N,3375.13,1822,Y, ,N,33970,N, ,N, ,N,5335,10450,N, ,N,19165,N, ,N, ,N,11275,3230,Y,,N,43637,Y,,N,,N,7634,3,4897.741935,y,,,,15,85736,n,,,,,,,13726.27968
Iowa_Delaware,Iowa_Delaware,19055, ,N,240685,N, ,N, ,N,26475.35,7555,N, ,N,206537,N, ,N, ,N,29348,28644,N, ,N,266763,N, ,N, ,N,54473,19300,N,,N,334155,N,,N,,N,53691,36,31553,n,2,3664.869565,y,93,349808,n,,,,,,,70970.16448
Iowa_Des Moines,Iowa_DesMoines,19057, ,N,110087,N, ,N, ,N,12109.57,911,Y, ,N,18367,N, ,N, ,N,2820, ,N, ,N,38040,N, ,N, ,N,4185,,N,,N,23672,N,,N,,N,2604,,,,,,,13,32120,n,,,,,,,3533.2
Iowa_Dickinson,Iowa_Dickinson,19059, ,N,23294,N, ,N, ,N,2562.34,13407,N, ,N,57640,Y, ,N, ,N,18102,15221,N,3009,Y,31023,N, ,N, ,N,20831,12490,N,1845,Y,41300,N,,N,,N,17993,9,12681,n,1,1832.434783,y,16,78507.89744,y,,,,,,,22166.75746
Iowa_Dubuque,Iowa_Dubuque,19061, ,N,157635,N, ,N, ,N,17339.85,12864,N, ,N,114349,N, ,N, ,N,23864,35745,N, ,N,168005,N, ,N, ,N,49837,23536,N,,N,111353,N,,N,,N,32896,30,31044,n,3,2458,n,49,130903,n,,,,,,,44857.188
Iowa_Emmet,Iowa_Emmet,19063, ,N,101633,N, ,N,466856,Y,13047.054,7132,N, ,N,145639,N, ,N,808031,Y,25510,24000,N, ,N,157052,N, ,N,1279344,Y,43447,5077,N,,N,189235,N,,N,1266349,Y,30337,6,3269,n,,,,26,144402,n,,,,1,1866227.345,y,26216.04238
Iowa_Fayette,Iowa_Fayette,19065, ,N,168506,N, ,N, ,N,18535.66,2164,N,1188,Y,205803,N, ,N,808031,Y,29376,10560,N,1504,Y,230878,N, ,N,1279344,Y,41811,5302,N,1845,Y,244148,N,,N,1266349,Y,39069,8,6455,n,1,1832.434783,y,36,224710,n,,,,1,1866227.345,y,40253.69612
Iowa_Floyd,Iowa_Floyd,19067, ,N,71062,N, ,N, ,N,7816.82,911,Y, ,N,130125,N, ,N, ,N,15114,2475,Y, ,N,146499,N, ,N, ,N,18288,3230,Y,,N,159114,N,,N,,N,20337,8,6270,n,,,,33,231566,n,,,,,,,30971.05
Iowa_Franklin,Iowa_Franklin,19069, ,N,151903,N, ,N,466856,Y,18576.754,3126,N, ,N,314768,N, ,N,808031,Y,40602,7565,N, ,N,588814,N, ,N,1279344,Y,76529,5564,N,,N,544934,N,,N,,N,64829,2,3265.16129,y,,,,73,440233,n,,,,,,,51289.17645
Iowa_Fremont,Iowa_Fremont,19071, ,N,10656,N, ,N, ,N,1172.16,911,Y, ,N,8868,Y, ,N, ,N,1775,2475,Y, ,N,5460,N, ,N, ,N,2772,3230,Y,,N,17455,Y,,N,,N,4753,2,3265.16129,y,,,,2,9813.487179,y,,,,,,,3943.030041
Iowa_Greene,Iowa_Greene,19073, ,N,129855,N, ,N, ,N,14284.05,6390,N, ,N,93150,N, ,N, ,N,15853,17510,N, ,N,104199,N, ,N, ,N,26823,8033,N,,N,195822,N,,N,,N,28589,7,6992,n,,,,38,316127,n,,,,,,,40905.954
Iowa_Grundy,Iowa_Grundy,19075, ,N,104130,N, ,N,466856,Y,13321.724,4954,N, ,N,129187,N, ,N, ,N,18558,7970,N, ,N,214216,N, ,N, ,N,30557,5350,N,,N,195430,N,,N,,N,26192,9,7372,n,,,,33,149835,n,,,,,,,22947.094
Iowa_Guthrie,Iowa_Guthrie,19077, ,N,55043,N, ,N,466856,Y,7922.154,6534,N,1188,Y,60453,N, ,N,808031,Y,17219,9502,N, ,N,97208,N, ,N,1279344,Y,24146,9900,N,,N,121635,N,,N,1266349,Y,27131,3,10723,n,,,,12,68751,n,,,,1,1866227.345,y,24431.59038
Iowa_Hamilton,Iowa_Hamilton,19079, ,N,412714,N, ,N, ,N,45398.54,1822,Y, ,N,452567,N,118758,Y, ,N,51646,1238,Y, ,N,456299,N, ,N, ,N,51284,,N,,N,644731,N,,N,,N,70928,,,,,,,69,1006857,n,,,,,,,110754.27
Iowa_Hancock,Iowa_Hancock,19081, ,N,124493,N, ,N,466856,Y,15561.654,1822,Y, ,N,181025,N, ,N,808031,Y,24745,3874,N, ,N,270370,N, ,N,2558687,Y,43377,3230,Y,,N,358334,N,,N,3799046,Y,57450,2,3265.16129,y,,,,50,413169,n,,,,2,3732454.69,y,63241.95521
Iowa_Hardin,Iowa_Hardin,19083, ,N,349068,N, ,N,933712,Y,42132.328,4943,N, ,N,862550,N, ,N,808031,Y,102458,16284,N, ,N,857385,N, ,N,1279344,Y,113723,6722,N,,N,714373,N,,N,2532698,Y,94616,6,17092,n,,,,63,624034,n,,,,2,3732454.69,y,98563.24276
Iowa_Harrison,Iowa_Harrison,19085, ,N,49303,N, ,N, ,N,5423.33,3787,N, ,N,44338,Y, ,N, ,N,8200,3250,N, ,N,33321,N, ,N, ,N,6517,1615,Y,,N,31568,N,,N,,N,4889,1,1632.580645,y,,,,5,42750,n,,,,,,,6134.273226
Iowa_Henry,Iowa_Henry,19087, ,N,53390,N, ,N, ,N,5872.9, ,N,1188,Y,67175,N, ,N, ,N,8995, ,N,1504,Y,78061,N, ,N, ,N,10620,,N,,N,60377,N,,N,,N,6642,,,,,,,42,147648,n,,,,,,,16241.28
Iowa_Howard,Iowa_Howard,19089, ,N,50850,N, ,N, ,N,5593.5,3441,N, ,N,113515,N, ,N, ,N,15506,6512,N, ,N,212030,N, ,N, ,N,29038,5807,N,1845,Y,187893,N,,N,,N,28258,6,6308,n,1,1832.434783,y,32,317520,n,,,,,,,42868.96774
Iowa_Humboldt,Iowa_Humboldt,19091, ,N,55767,N, ,N, ,N,6134.37,2681,N, ,N,85179,N, ,N, ,N,11723,1821,N, ,N,103600,N, ,N, ,N,12994,1971,N,,N,154056,N,,N,2532698,Y,28808,6,5951,n,,,,20,128169,n,,,,1,1866227.345,y,26782.52638
Iowa_Ida,Iowa_Ida,19093, ,N,83097,N, ,N, ,N,9140.67,7195,N,1188,Y,123855,N, ,N, ,N,21541,30913,N,1504,Y,110994,N, ,N, ,N,41360,7030,N,1845,Y,138474,N,,N,,N,23894,16,17705,n,1,1832.434783,y,11,56820,n,,,,,,,24187.13674
Iowa_Iowa,Iowa_Iowa,19095, ,N,75573,N, ,N, ,N,8313.03,6000,N, ,N,72064,N, ,N, ,N,13191,15451,N, ,N,92310,N, ,N, ,N,23709,4934,N,,N,114523,N,,N,,N,16927,5,6457,n,,,,33,125248,n,,,,,,,19440.069
Iowa_Jackson,Iowa_Jackson,19097, ,N,29641,N, ,N,466856,Y,5127.934,11525,N, ,N,42482,N, ,N,808031,Y,18015,18075,N, ,N,39405,N, ,N, ,N,20190,15659,N,,N,37237,N,,N,,N,17832,25,26562,n,,,,12,41205,n,1,150867.1329,y,,,,28159.33169
Iowa_Jasper,Iowa_Jasper,19099, ,N,116311,N, ,N, ,N,12794.21,4706,N, ,N,109539,N, ,N, ,N,16178, ,N, ,N,207817,N, ,N, ,N,22862,1615,Y,,N,204053,N,,N,,N,23865,3,1500,n,,,,31,177585,n,,,,,,,20849.85
Iowa_Jefferson,Iowa_Jefferson,19101, ,N,43512,N, ,N, ,N,4786.32,911,Y, ,N,42904,N, ,N, ,N,5519, ,N, ,N,56678,N, ,N, ,N,6235,5612,N,,N,33081,N,,N,,N,8562,5,3600,n,,,,25,77765,n,,,,,,,11711.35
Iowa_Johnson,Iowa_Johnson,19103, ,N,59999,N, ,N, ,N,6599.89,1634,N, ,N,94220,N, ,N,808031,Y,15030,7980,N, ,N,135728,N, ,N, ,N,21932,3776,N,,N,114170,N,,N,,N,15872,2,3265.16129,y,,,,25,79800,n,,,,,,,11641.54645
Iowa_Jones,Iowa_Jones,19105, ,N,91992,N, ,N, ,N,10119.12,9737,N, ,N,68398,N, ,N, ,N,16066,12692,N, ,N,91365,N, ,N, ,N,21184,7650,N,,N,58245,N,,N,,N,13118,17,17066,n,,,,23,101051,n,,,,,,,26082.492
Iowa_Keokuk,Iowa_Keokuk,19107, ,N,92171,N, ,N, ,N,10138.81,1725,N, ,N,122959,N, ,N, ,N,15040,2050,N, ,N,161915,N, ,N, ,N,19610,1615,Y,,N,233254,N,,N,,N,27077,2,3265.16129,y,,,,39,225543,n,,,,,,,27673.27645
Iowa_Kossuth,Iowa_Kossuth,19109, ,N,246405,N, ,N, ,N,27104.55,10060,N, ,N,386803,N, ,N, ,N,51378,12279,N,3009,Y,727507,N, ,N, ,N,94871,5721,N,,N,596612,N,,N,,N,70652,10,9591,n,1,1832.434783,y,99,584813,n,,,,,,,75150.38874
Iowa_Lee,Iowa_Lee,19111, ,N,75246,N, ,N, ,N,8277.06,911,Y, ,N,68494,N, ,N, ,N,8334,2475,Y, ,N,41965,N, ,N, ,N,6788,,N,,N,65734,N,,N,,N,7231,,,,,,,22,90298,n,,,,,,,9932.78
Iowa_Linn,Iowa_Linn,19113, ,N,31281,N, ,N, ,N,3440.91,7544,N, ,N,47271,N, ,N, ,N,11818,8884,N,1504,Y,127987,N, ,N, ,N,23905,6380,N,,N,82862,N,,N,,N,14712,6,5393,n,,,,4,55468,n,,,,,,,10831.141
Iowa_Louisa,Iowa_Louisa,19115, ,N,70873,N, ,N, ,N,7796.03, ,N, ,N,93676,N, ,N, ,N,10305, ,N, ,N,146633,N, ,N, ,N,16131,,N,,N,206417,N,,N,,N,22708,,,,,,,47,271563,n,,,,,,,29871.93
Iowa_Lucas,Iowa_Lucas,19117, ,N,4350,N, ,N, ,N,478.5,1822,Y, ,N,6300,N, ,N, ,N,2291,1238,Y, ,N,24774,Y, ,N, ,N,3811,,N,,N,37719,N,,N,,N,4150,,,,,,,4,43033,n,,,,,,,4733.63
Iowa_Lyon,Iowa_Lyon,19119, ,N,230279,N, ,N,466856,Y,27198.114,26863,N,1993,N,378243,N, ,N,808031,Y,71100,63672,N,6877,N,525259,N, ,N,1279344,Y,128047,72909,N,7170,N,698205,N,,N,1266349,Y,155520,92,108704,n,6,8960,n,201,1058365,n,,,,1,1866227.345,y,231000.8674
Iowa_Madison,Iowa_Madison,19121, ,N,22727,N, ,N,466856,Y,4367.394,1822,Y, ,N,22172,N, ,N,808031,Y,7269,2475,Y, ,N,32393,N, ,N,1279344,Y,10852,1920,N,,N,33452,N,,N,1266349,Y,10430,,,,,,,5,28353,n,,,,1,1866227.345,y,10583.73938
